OrderID;ProductID;CustomerID;StoreID;Quantity;OrderDate;IMPORT COLUMN
1;78;20;1;12;2022-01-28;(1, 78, 20, 1, 12, '2022-01-28'),
2;44;15;1;3;2020-04-29;(2, 44, 15, 1, 3, '2020-04-29'),
3;92;28;1;9;2020-05-07;(3, 92, 28, 1, 9, '2020-05-07'),
4;32;10;3;25;2022-05-08;(4, 32, 10, 3, 25, '2022-05-08'),
5;45;15;3;28;2020-11-02;(5, 45, 15, 3, 28, '2020-11-02'),
6;62;40;3;27;2019-07-20;(6, 62, 40, 3, 27, '2019-07-20'),
7;91;47;1;12;2019-10-29;(7, 91, 47, 1, 12, '2019-10-29'),
8;3;4;2;22;2020-07-06;(8, 3, 4, 2, 22, '2020-07-06'),
9;93;5;1;7;2022-01-23;(9, 93, 5, 1, 7, '2022-01-23'),
10;62;22;1;4;2021-08-01;(10, 62, 22, 1, 4, '2021-08-01'),
11;21;34;1;11;2020-05-18;(11, 21, 34, 1, 11, '2020-05-18'),
12;63;10;1;1;2022-01-25;(12, 63, 10, 1, 1, '2022-01-25'),
13;76;20;3;20;2022-06-02;(13, 76, 20, 3, 20, '2022-06-02'),
14;71;45;3;11;2019-02-08;(14, 71, 45, 3, 11, '2019-02-08'),
15;70;35;3;27;2020-01-29;(15, 70, 35, 3, 27, '2020-01-29'),
16;26;13;1;3;2019-09-30;(16, 26, 13, 1, 3, '2019-09-30'),
17;85;40;1;21;2022-06-07;(17, 85, 40, 1, 21, '2022-06-07'),
18;48;2;1;8;2021-09-18;(18, 48, 2, 1, 8, '2021-09-18'),
19;28;10;1;19;2021-09-10;(19, 28, 10, 1, 19, '2021-09-10'),
20;79;3;3;4;2020-05-30;(20, 79, 3, 3, 4, '2020-05-30'),
21;19;42;2;17;2019-12-03;(21, 19, 42, 2, 17, '2019-12-03'),
22;26;36;1;1;2021-06-06;(22, 26, 36, 1, 1, '2021-06-06'),
23;7;5;3;4;2021-06-20;(23, 7, 5, 3, 4, '2021-06-20'),
24;37;13;3;10;2020-07-26;(24, 37, 13, 3, 10, '2020-07-26'),
25;51;16;3;9;2019-11-14;(25, 51, 16, 3, 9, '2019-11-14'),
26;45;27;2;23;2022-10-17;(26, 45, 27, 2, 23, '2022-10-17'),
27;7;41;3;23;2019-07-09;(27, 7, 41, 3, 23, '2019-07-09'),
28;73;42;2;12;2021-03-27;(28, 73, 42, 2, 12, '2021-03-27'),
29;5;43;3;17;2019-10-28;(29, 5, 43, 3, 17, '2019-10-28'),
30;50;34;3;26;2021-08-05;(30, 50, 34, 3, 26, '2021-08-05'),
31;37;19;2;18;2019-10-13;(31, 37, 19, 2, 18, '2019-10-13'),
32;90;18;3;11;2019-08-18;(32, 90, 18, 3, 11, '2019-08-18'),
33;63;24;1;8;2021-12-21;(33, 63, 24, 1, 8, '2021-12-21'),
34;42;2;3;30;2021-04-15;(34, 42, 2, 3, 30, '2021-04-15'),
35;6;22;3;3;2020-10-16;(35, 6, 22, 3, 3, '2020-10-16'),
